appid,name
10,Counter-Strike
20,Team Fortress Classic
30,Day of Defeat
40,Deathmatch Classic
50,Half-Life: Opposing Force
60,Ricochet
70,Half-Life
80,Counter-Strike: Condition Zero
90,Half-Life Dedicated Server
100,Counter-Strike: Condition Zero Deleted Scenes
130,Half-Life: Blue Shift
150,Counter-Strike Steamworks Beta
210,Source Dedicated Server
220,Half-Life 2
240,Counter-Strike: Source
260,Counter-Strike: Source Beta
280,Half-Life: Source
300,Day of Defeat: Source
310,Source 2007 Dedicated Server
320,Half-Life 2: Deathmatch
340,Half-Life 2: Lost Coast
360,Half-Life Deathmatch: Source
380,Half-Life 2: Episode One
400,Portal
410,Portal: First Slice
420,Half-Life 2: Episode Two
440,Team Fortress 2
480,Spacewar
500,Left 4 Dead
510,Left 4 Dead Dedicated Server
520,Team Fortress 2 Beta
530,Left 4 Dead Demo
540,Left 4 Dead Demo Dedicated Server
550,Left 4 Dead 2
560,Left 4 Dead 2 Dedicated Server
570,Dota 2
590,Left 4 Dead 2 Demo
620,Portal 2
630,Alien Swarm
640,Alien Swarm - SDK
650,Portal 2 - Gamestop PS3 DLC
660,Portal 2 Sixense MotionPack
730,Counter-Strike: Global Offensive
740,Counter-Strike Global Offensive - Dedicated Server
760,Steam Screenshots
900,Zombie Movie
920,Dark Messiah: Assassin
930,Half-Life 2: Episode Two Trailer 2
940,Dark Messiah Launch Trailer
950,Hitman: Blood Money Trailer
960,Team Fortress 2: Meet the Heavy
970,Sam & Max 103: The Mole, the Mob and the Meatball Trailer
980,SpaceForce: Rogue Universe Trailer
990,Enemy Territory: QUAKE Wars Trailer
1200,Red Orchestra: Ostfront 41-45
1210,Red Orchestra Beta
1220,RedOrchestra SDK Beta
1230,Mare Nostrum
1240,Mare Nostrum Dedicated Server
1250,Killing Floor
1260,Killing Floor SDK
1270,Killing Floor Beta
1280,Darkest Hour: Europe '44-'45
1290,Darkest Hour: Europe '44-'45 Dedicated Server
1300,SiN Episodes: Emergence
1320,SiN Episodes: Emergence
1500,Darwinia
1510,Uplink
1520,DEFCON
1530,Multiwinia
1540,Multiwinia Demo
1600,Dangerous Waters
1610,Space Empires IV Deluxe
1620,Jagged Alliance 2
1630,Disciples II: Rise of the Elves
1640,Disciples II: Gallean's Return
1670,Iron Warriors: T-72 Tank Command
1690,Space Empires V
1700,Arx Fatalis
1710,Arx Fatalis Demo
1840,Source Filmmaker
1900,Earth 2160
1920,Two Worlds
1930,Two Worlds: Epic Edition
2100,Dark Messiah of Might & Magic Single Player
2110,Dark Messiah Multiplayer Open Beta
2120,Dark Messiah of Might & Magic Singleplayer Demo
2130,Dark Messiah of Might & Magic Multi-Player
2150,Dark Messiah SDK Beta
2200,Quake III Arena
2210,Quake 4
2270,Wolfenstein 3D
2280,The Ultimate DOOM
2290,Final DOOM
2300,DOOM II: Hell on Earth
2310,Quake
2320,Quake II
2330,Quake II: The Reckoning
2340,Quake II: Ground Zero
2350,Quake III: Team Arena
2360,HeXen: Beyond Heretic
2370,HeXen: Deathkings of the Dark Citadel
2390,Heretic: Shadow of the Serpent Riders
2400,The Ship
2410,The Ship Beta
2420,The Ship Single Player
2430,The Ship Tutorial
2450,Bloody Good Time
2460,Bloody Good Time Dedicated Server
2500,Shadowgrounds
2510,Shadowgrounds Demo
2520,Gumboy: Crazy Adventures
2530,Gumboy Demo
2540,RIP
2550,RIP 3: The Last Hero
2560,RIP 3 - The Last Hero Demo
2570,Vigil: Blood Bitterness
2580,Vigil: Blood Bitterness Demo
2590,Alpha Prime
2600,Vampire: The Masquerade - Bloodlines
2610,GUN
2620,Call of Duty
2630,Call of Duty 2
2640,Call of Duty: United Offensive
2680,The History Channel: Civil War
2690,Empires: Dawn of the Modern World
2700,RollerCoaster Tycoon 3: Platinum!
2710,Act of War: Direct Action
2720,ThreadSpace: Hyperbol
2730,ThreadSpace: Hyperbol Demo
2740,ThreadSpace: Hyperbol dedicated server
2760,Neverwinter Nights 2: Platinum
2770,Neverwinter Nights 2: Platinum - Map Editor
2780,Arma: Combat Operations
2790,Atari: 80 Classic Games in One!
2800,X2: The Threat
2810,X3: Reunion
2820,X3: Terran Conflict
2840,X: Beyond the Frontier
2850,X-Tension
2860,X-SuperBox Bonus Material
2870,X Rebirth
2900,688(I) Hunter/Killer
2910,Fleet Command
2920,Sub Command
2930,Birth Of America
2950,Jagged Alliance 2: Unfinished Business
2990,FlatOut 2
3000,GTI Racing
3010,Xpand Rally
3020,Call of Juarez
3030,Call of Juarez - DirectX 10
3040,FIM Speedway GP3
3050,Xpand Rally Xtreme
3130,Men of War: Red Tide
3150,GM Rally
3160,A Farewell to Dragons
3170,King's Bounty: Armored Princess
3190,King's Bounty: Armored Princess - Demo
3200,Painkiller: Gold Edition
3210,Painkiller Demo
3220,SpaceForce: Rogue Universe
3230,Genesis Rising
3260,Safecracker: The Ultimate Puzzle Adventure
3270,Painkiller Overdose
3280,Painkiller Overdose Demo
3300,Bejeweled 2 Deluxe
3310,Chuzzle Deluxe
3320,Insaniquarium! Deluxe
3330,Zuma Deluxe
3340,AstroPop Deluxe
3350,Bejeweled Deluxe
3360,Big Money! Deluxe
3370,BookWorm Deluxe
3380,Dynomite! Deluxe
3390,Feeding Frenzy 2: Shipwreck Showdown Deluxe
3400,Hammer Heads Deluxe
3410,Heavy Weapon Deluxe
3420,Iggle Pop! Deluxe
3430,Pizza Frenzy
3440,Rocket Mania! Deluxe
3450,Typer Shark! Deluxe
3460,Talismania Deluxe
3470,Bookworm Adventures Deluxe
3480,Peggle Deluxe
3490,Venice
3500,Mystery P.I.: The Lottery Ticket
3510,Amazing Adventures: The Lost Tomb
3520,Mystery PI: The Vegas Heist
3530,Amazing Adventures Around the World
3540,Peggle Nights
3560,Bejeweled Twist
3570,Mystery P.I.: The New York Fortune
3580,The Wizard's Pen
3590,Plants vs. Zombies: Game of the Year
3600,Escape Rosecliff Island
3610,Mystery P.I.: Lost in Los Angeles
3620,Zuma's Revenge
3630,BookWorm Adventures Volume 2
3640,Bookworm (TM) Adventures - Fractured Fairytales
3650,Zuma's Revenge! - Adventure
3700,Sniper Elite
3710,Judge Dredd: Dredd vs Death
3720,Evil Genius
3730,Aliens versus Predator Classic 2000
3750,ValveTestApp3750
3800,Advent Rising
3810,BloodRayne
3820,BloodRayne 2
3830,Psychonauts
3840,Psychonauts Demo
3850,BloodRayne 2 Demo
3900,Sid Meier's Civilization IV
3910,Sid Meier's Civilization III: Complete
3920,Sid Meier's Pirates!
3960,Shattered Union
3970,Prey
3980,CivCity: Rome
3990,Sid Meier's Civilization IV: Warlords
4000,Garry's Mod
4010,Garry's Mod - Beta
4020,Garry's Mod Dedicated Server
4100,Poker Superstars II
4200,Race Internal Beta
4210,Race Internal Beta Dedicated Server
4230,Race: The WTCC Game
4240,Race Dedicated Server
4260,RACE 07 Demo
4270,RACE 07 Demo Dedicated Server
4280,Race Caterham Beta
4290,RACE: Caterham Expansion
4300,RoboBlitz
4310,RoboBlitz Demo
4320,Star Trek: D-A-C
4330,Star Trek: D·A·C - Demo
4400,City Life
4410,City Life Deluxe
4420,Silverfall
4440,Silverfall Demo
4450,Silverfall Beta
4460,City Life 2008
4470,Silverfall: Earth Awakening
4480,City Life 2008 Editor
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl
4520,Full Spectrum Warrior
4530,Full Spectrum Warrior: Ten Hammers
4540,Titan Quest
4550,Titan Quest: Immortal Throne
4560,Company of Heroes - Legacy Edition
4570,Warhammer 40,000: Dawn of War - Game of the Year Edition
4580,Warhammer 40,000: Dawn of War - Dark Crusade
4590,Titan Quest Demo
4600,Full Pipe
4610,Full Pipe Demo
4700,Medieval II: Total War
4710,Medieval II: Total War Demo
4720,Condemned: Criminal Origins
4730,OutRun 2006: Coast 2 Coast
4760,Rome: Total War
4770,Rome: Total War - Alexander
4780,Medieval II: Total War Kingdoms
4790,SEGA Rally Revo
4800,Heroes of Annihilated Empires
4810,Heroes of Annihilated Empires Demo
4820,Heroes of Annihilated Empires Multiplayer Demo
4830,S.T.A.L.K.E.R.: Shadow of Chernobyl
4850,Cossacks: Back to War
4870,Cossacks: Art of War
4880,Cossacks: European Wars
4890,Cossacks II: Battle for Europe
4900,Zen of Sudoku
4910,Zen of Sudoku Demo
4920,Natural Selection 2
4930,Natural Selection 2 - Black Armor
4940,Natural Selection 2 Dedicated Server
5000,Painkiller Overdose Teaser
5010,Universe at War: Earth Assault Trailer
5020,Warhammer 40,000: Dawn of War – Soulstorm Trailer
5030,Assassin's Creed Trailer
5040,Sam & Max 203 Trailer
5050,Tom Clancy's HAWX Trailer
5060,S.T.A.L.K.E.R.: Clear Sky Atmosphere Trailer
5070,Dawn of War II: Trailer
5080,GTR Evolution Trailer
5090,Team Fortress 2: Meet the Soldier (Russian)
5100,Project Aftermath Trailer
5120,Fallout 3 Gameplay 2: Megaton
5130,X3: Terran Conflict - Trade
5140,X3: Terran Conflict - Build
5150,Left 4 Dead TV Spot 2 - 1080p
5160,Command and Conquer: Red Alert 3
5170,Strong Bad Episode 2: Strong Badia the Free Trailer
5180,Everquest II: Rise of Kunark Trailer
5190,Grand Ages Rome Trailer 2
5200,Empire: Total War Launch Trailer (Dutch)
5210,Grey's Anatomy: The Video Game Trailer
5220,FLOCK! Trailer 2
5240,RFG Tools of Destruction 3
5250,RFG Dev Diary
5260,Team Fortress 2: Meet the Spy
5270,FUEL Trailer (UK)
5280,Global Agenda - No Elves Trailer
5290,America's Army 3 Long Trailer
5300,Trine Teaser Trailer
5310,Bionic Commando Trailer
5320,Batman Arkham Asylum Invisible
5330,Cricket Revolution Gameplay
5340,Section 8 Teaser Trailer
5350,Ashes Cricket 2009 - Tunnel Trailer
5360,Mini Ninjas - Gameplay Trailer (EU)
5370,Heroes Over Europe - Environments
5390,Empire: Total War - Warpath Campaign (Russian) Trailer
5400,Napoleon: Total War (Spanish) Trailer
5410,Modern Warfare 2 - MultiPlayer Trailer
